DY9HHAU5;Пушкин А. С.;Digital;155;false;40;Major;agauchier0@sun.com
5REK07BB;Толстой Л. Н.;Digital;155;false;95;Ordinary;iinglis1@theatlantic.com
SOTFMPU4;Достоевский Ф. М.;Digital;155;false;80;Major;oerdely2@instagram.com
6T917BLX;Лермонтов М. Ю.;Digital;155;false;79;Ordinary;pgurys3@fc2.com
EMBQSSW5;Тургенев И. С.;Digital;155;false;69;Ordinary;blofthouse4@chicagotribune.com
QQHUWXL6;Гоголь Н. В.;Figital;71;false;53;Ordinary;mtolchar5@yelp.com
A8NH5FKH;Ахматова А. А.;Digital;155;false;88;Major;lchidley6@umich.edu
MS7N58D9;Чехов А. П.;Digital;155;false;1;Ordinary;ogustus7@drupal.org
J13R9IOO;Маяковский В. В.;Figital;155;false;50;Ordinary;cstower8@com.com
R05WIWNH;Есенин С. А.;Figital;71;false;21;Major;rlivermore9@mozilla.com
GT9552NU;Цветаева М. И.;Digital;62;true;19;Ordinary;lcoupmana@artisteer.com
USLGN96B;Блок А. А.;Figital;71;false;56;Ordinary;igowthorpeb@i2i.jp
R6CPH9ID;Мандельштам О. Э.;Digital;62;false;82;Ordinary;gloniec@photobucket.com
MXKP8GCK;Гумилёв Н. С.;Figital;71;false;27;Ordinary;lgirardd@wix.com
5Z99578Y;Бродский И. А.;Digital;62;true;18;Major;opaeckmeyere@mlb.com
777ODV3B;Пастернак Б. Л.;Figital;62;false;68;Ordinary;wfoulgerf@ted.com
ATMO0R4K;Шолохов М. А.;Figital;71;false;20;Ordinary;ccurtayneg@ucla.edu
RWMBIS1Q;Булгаков М. А.;Digital;62;false;64;Ordinary;aquadrioh@wisc.edu
UHX6N3KP;Солженицын А. И.;Figital;71;false;24;Major;bcharlesi@unicef.org
DVDOMGT8;Твардовский А. Т.;Figital;62;false;67;Ordinary;aedneyj@addtoany.com
ANDREY;Бунин И. А.;Digital;22;false;22;Major;rreshrr@gmail.com
